country,data_cancer,data_meat
Albania,10.9,32.9666666667
Argentina,41.5,100.333333333
Austria,48.8,103.533333333
Barbados,54.2,90.2333333333
Belgium,44.9,88.1666666667
Belize,10.4,62.0333333333
Brazil,20.5,81.1333333333
Bulgaria,43.5,65.6333333333
Canada,45.3,107.833333333
Chile,22.8,67.1
Colombia,20.4,33.7
Costa-Rica,23,42.0666666667
Croatia,59.2,46.9333333333
Cuba,39.3,30.6
Czech-Republic,77.4,77.0333333333
Denmark,58.7,138.2
Ecuador,11,42.4666666667
Egypt,6.3,22.7666666667
El-Salvador,8.7,21.4
Estonia,51.5,63.7666666667
Finland,29.4,66.2333333333
France,42.1,101.466666667
Macedonia,35.2,31.5333333333
Germany,51.5,82.5333333333
Greece,29.2,86.6
Guatemala,8.9,22.7333333333
Hungary,80.9,95.0
Iceland,42.4,81.9
Ireland,51.7,117.066666667
Israel,52.5,95.6666666667
Italy,43,89.9333333333
Japan,42.5,44.2333333333
Kazakhstan,30.3,43.8
Kuwait,18.3,63.9
Kyrgyzstan,20.6,39.7333333333
Latvia,46.9,40.8666666667
Lithuania,43.6,48.0666666667
Luxembourg,46.7,140.666666667
Malta,53.1,80.1666666667
Mauritius,12.5,29.5666666667
Mexico,12.5,56.8666666667
New-Zealand,60.1,137.133333333
Nicaragua,11.1,15.9666666667
Norway,55.8,61.2333333333
Panama,21.5,55.5666666667
Paraguay,13.3,69.0333333333
Peru,10.5,33.3333333333
Philippines,21.2,28.4666666667
Poland,49.1,73.4666666667
Portugal,50.1,92.2
Moldova,36.8,21.1666666667
Romania,36.5,50.0666666667
Singapore,58.6,71.5333333333
Slovakia,69.7,66.3666666667
Slovenia,58.1,92.9666666667
South-Africa,19.6,39.9666666667
Spain,47.4,115.266666667
Sweden,40,72.5
Switzerland,34.9,71.8
Thailand,7.9,26.5
Netherlands,51.2,87.6333333333
Trinidad-and-Tobago,31.2,50.4666666667
United-Kingdom,41.9,78.3666666667
United-States-of-America,42,122.366666667
Uruguay,49.8,98.5666666667
Venezuela,21.1,54.8333333333
