country,cancer,meat
Albanie,10.9
Argentina,41.5
Australia,46.5
Austria,48.8
Barbados,54.2
Belgium,44.9
Belize,10.4
Brazil,20.5
Bulgaria,43.5
Canada,45.3
Chile,22.8
Hong Kong,47.8
Colombia,20.4
Costa Rica,23
Croatia,59.2
Cuba,39.3
Czech Republic,77.4
Denmark,58.7
Dominican Republic,9.3
Ecuador,11
Egypt,6.3
El Salvador,8.7
Estonia,51.5
Finland,29.4
France,42.1
Macedonia,35.2
Germany,51.5
Greece,29.2
Guatemala,8.9
Hungary,80.9
Iceland,42.4
Ireland,51.7
Israel,52.5
Italy,43
Japan,42.5
Kazakhstan,30.3
Kuwait,18.3
Kyrgyzstan,20.6
Latvia,46.9
Lithuania,43.6
Luxembourg,46.7
Malta,53.1
Mauritius,12.5
Mexico,12.5
New Zealand,60.1
Nicaragua,11.1
Norway,55.8
Panama,21.5
Paraguay,13.3
Peru,10.5
Philippines,21.2
Poland,49.1
Portugal,50.1
Republic of Korea,31.2
Moldova,36.8
Romania,36.5
Serbia,41.9
Singapore,58.6
Slovakia,69.7
Slovenia,58.1
South Africa,19.6
Spain,47.4
Suriname,20.6
Sweden,40
Switzerland,34.9
Thailand,7.9
The Netherlands,51.2
Trinidad and Tobago,31.2
United Kingdom,41.9
United States,42
Uruguay,49.8
Venezuela,21.1
